ano,sigla_uf,id_municipio,area_total,area_proprietario,area_arrendatario,area_parceiro,area_ocupante,area_lavoura_permanente,area_lavoura_temporaria,area_pastagem_natural,area_pastagem_plantada,area_pastagem,area_mata_natural,area_mata_plantada,area_sistema_agroflorestal,area_mata,area_nao_utilizada,quantidade_estabelecimentos,producao_cafe,area_cafe,quantidade_estabelecimentos_cafe,valor_total_producao_cafe,quantidade_bovinos_total,quantidade_bezerros,quantidade_bovinos_garrote,quantidade_bovinos_vaca,quantidade_bovinos_trabalho,quantidade_bovinos_touro,quantidade_estabelecimentos_energia_eletrica,despesa_total,despesa_adubos,despesa_sementes,despesa_arrendamentos,despesa_salarios,despesa_defensivos,despesa_cotas,areas_irrigacao,producao_leite,numero_estabelecimentos_total,numero_estabelecimentos_proprietario,numero_estabelecimentos_arrendatario,numero_estabelecimentos_parceiros,numero_estabelecimentos_ocupantes,numero_estabelecimentos_outros,numero_estabelecimentos_nenhuma,numero_estabelecimentos_cooperativas,numero_estabelecimentos_cooperativas_credito,numero_estabelecimentos_cooperativa_energia_eletrica,numero_estabelecimentos_cooperativa_energia_outras,quantidade_tratores,quantidade_maquina_colheita,quantidade_maquinas_plantio,quantidade_tratores_estabelecimentos_menor_10,quantidade_tratores_estabelecimentos_maior_10,pessoal_ocupado_total,pessoal_ocupado_parentesco_produtor,pessoal_14_mais_sem_parentesco,pessoal_14_mais_com_parentesco_produtor,pessoal_14_mais_empregadas,pessoal_14_mais_ocupado,valor_producao_total,valor_producao_total_animal,valor_total_producao_animal_grande,valor_total_producao_animal_medio,valor_total_producao_aves,valor_total_producao_vegetal,valor_total_producao_hortifruti,valor_total_producao_silvicultura,valor_total_producao_vegicultura,valor_total_producao_lavoura_temporaria,valor_total_producao_lavoura_permanente,producao_total_arroz,producao_total_feijao,producao_total_milho,producao_total_mandioca,producao_total_soja,producao_total_algodao,producao_total_cana,producao_total_trigo,area_arroz,area_feijao,area_milho,area_mandioca,area_soja,area_algodao,area_cana,area_trigo,numero_estabelecimentos_arroz,numero_estabelecimentos_feijao,numero_estabelecimentos_milho,numero_estabelecimentos_mandioca,numero_estabelecimentos_soja,numero_estabelecimentos_algodao,numero_estabelecimentos_cana,numero_estabelecimentos_trigo,valor_total_arroz,valor_total_feijao,valor_total_milho,valor_total_mandioca,valor_total_soja,valor_total_algodao,valor_total_cana,valor_total_trigo,valor_total,valor_total_terras,valor_total_cultura_permanente,valor_total_matas_plantadas,valor_total_predios_benfeitorias,valor_total_animais,valor_total_animais_transporte,valor_total_maquinas_transporte,proporcao_despesa_fertilizante,proporcao_despesa_defensivos,proporcao_despesa_sementes,proporcao_despesa_salarios
1996,RO,1100015,"422541,34",,,,,,,,,,,,,,1,4691,,2793,,162835,538,,,,,,,,"18,271",6736731,4526,2994,240,472,820,0,247,76,18,15406,11683,,,,,,,,0,,,,3988,10225,11006,1342,0,53,19,0,,,,"103,425",0,"34,814","0,36",0,2413,3502,2846,316,0,27,23,0,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100015,"295021,75",,,,"2981,75",,,,,,,,,,33,,1122,248,,276448,55812,112251,84505,570,4603,1817,,,,,,,0,,,2455,2140,34,173,206,0,2427,0,0,0,0,265,0,0,6836,708,7544,6031,697,6728,,,,,,,,,,,,,,,,0,0,"55,92",0,1320,13360,4290,137,0,0,5,0,574,1171,1035,186,0,0,15,0,,,,,0,0,,0,,,,,,,,,,,,,,,
2017,RO,1100015,372746,360839,6150,822,2690,6067,2088,24758,213590,238348,108944,258,10481,109202,6560,178,334,216,112,1415,319811,2598,155230,4257,6277,4387,13460,8517,,3317,10348,2886,2582,46,42,35,181,1895,517,17,93,6560,1990,8550,6052,1952,8004,191374,147690,137402,554,9654,43684,967,3113,105,11133,28248,54,697,5479,462,2800,0,52,0,43,828,1543,114,871,0,4,0,54,533,598,191,3,0,12,0,97,1693,4787,765,2855,0,132,0,,,,,,,,,,,,,,,,,,,,,,,
1985,RO,1100023,,"682505,25",,,,,,,,,"696514,75",,"696660,25",,64,,12039,4343,,71654,13007,31022,25123,341,2161,94,,,,,,,,"8,324",,10598,5108,98,1503,3889,0,10365,144,27,1,74,117,46,32,21,96,37879,6946,44825,26436,6760,33196,,,,,,,,,,,,"14160,41","809,12","5556,73",,"40,32","8,4","146,65",0,11763,2186,5166,398,27,10,10,0,3254,1229,1776,394,10,4,34,0,,,,,,,,,,,,,,,,,,,,,
1996,RO,1100023,,,,,,,,,,,,,,,12,2870,"4295,88",1075,,150832,632,,,,,,,,"32,686",6952246,2090,1927,28,115,20,0,161,5,10,10368,7646,,,,,,,,0,,,,2459,246,2863,427,0,0,15,0,,,,"34,354",0,0,247,0,857,449,906,146,0,0,9,0,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100023,"359879,88",,,,,,,"1595,75",,,133501,"1115,75","134616,75",,111,,1056,342,,344500,73793,141167,95442,1650,9537,2286,,,,,,,0,,,3005,2545,34,33,410,0,2880,0,0,0,0,263,0,0,7626,898,8524,6691,814,7505,,,,,,,,,,,,"2003,2",,,,0,0,"75,79",0,1296,315,692,1045,0,0,20,0,207,145,299,321,1,0,31,0,,,,,0,0,,0,,,,,,,,,,,,,,,
2017,RO,1100023,334256,306268,9619,2478,13315,5235,5341,0,221786,221786,88865,615,1573,89480,10692,320,0,0,0,0,317996,2772,188213,6781,803,3214,15402,5524,,270,19806,2928,2303,66,16,391,152,2424,501,32,54,6054,1028,7082,5777,989,6766,153569,131896,100973,1700,29223,21673,2080,0,0,14510,4650,594,19,3440,843,9553,0,952,0,179,18,1282,275,3184,0,30,0,18,123,285,700,17,0,191,0,467,58,1741,1021,9157,0,881,0,,,,,,,,,,,,,,,,,,,,,,,
1996,RO,1100031,,,,,,,,,,,,,,,1,53,"60,098",173,,79288,161,,,,,,,,"5,34",5480547,1154,1150,1,1,2,0,67,2,8,4960,3633,,,,,,,,0,,,,1446,264,2359,572,0,0,455,0,,,,"31,215",0,0,"12,562",0,655,323,640,179,0,0,89,0,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100031,"106652,9",,,,,,,,,,,0,,,31,,40,22,,117784,21614,42905,42151,24,1356,804,,,,,,,0,,,1016,967,51,10,25,0,994,0,0,0,0,147,0,0,2485,174,2659,2342,172,2514,,,,,,,,0,,,,"4673,25",,,117,"11061,8",0,"190,128",0,2488,43,2499,39,4537,0,21,0,81,28,159,38,24,0,29,0,,,,,,0,,0,,,,0,,,,,,,,,,,
2017,RO,1100031,113085,96327,15105,0,0,4637,30451,5041,52811,57852,17271,593,0,17864,1325,176,1,8,5,7,113277,880,151613,24922,5890,11958,7515,14730,,1995,9328,1075,961,92,8,1,13,921,247,67,61,2214,871,3085,2090,578,2668,146924,48275,45496,626,2153,98649,0,0,0,97393,1165,9185,0,49175,283,73522,0,74,0,4177,0,13611,34,24751,0,4,0,6,0,65,91,56,0,17,0,6966,0,17672,655,70275,0,201,0,,,,,,,,,,,,,,,,,,,,,,,
1985,RO,1100049,,,,,,,,,,,,,,,23,,16790,5879,,86291,16896,32452,33487,569,2887,103,,,,,,,,"1,21",,8069,3819,147,3044,1059,0,7882,119,5,4,62,111,35,11,4,107,26435,2149,28584,20331,2094,22425,,,,,,,,,,,,"23583,55",,"15203,24","1567,09","45,1","23,64","135,82",0,16599,8449,12313,258,42,13,13,0,5874,4569,4975,329,17,7,25,0,,,,,,,,,,,,,,,,,,,,,
1996,RO,1100049,,,,,,,,,,,,,,,12,12593,,4850,,237747,2322,,,,,,,,"112,259",18615746,6172,3567,81,1587,937,0,238,9,4,16572,15049,,,,,,,,0,,,,4709,2626,9832,1892,42,26,592,0,,,,"173,463","24,298","29,378","10,563",0,2905,3418,3569,337,12,15,30,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100049,"238066,28",,,,,,,,,,,,,,54,,405,127,,341522,69388,133261,100487,603,4515,3669,,,,,,,0,"4306,75",,4263,3424,60,457,344,0,4182,0,0,0,0,355,0,0,11270,2294,13564,10352,2224,12576,,,,,,,,,,,,,,,,0,0,"656,326",0,933,4410,2227,2216,0,0,48,0,617,983,1151,355,0,1,42,0,,,,,0,0,,0,,,,,,,,,,,,,,,
2017,RO,1100049,221390,213924,576,1292,3189,6738,1944,1658,173338,174996,31620,180,0,31800,5760,363,6,8,7,35,312990,3579,101349,5354,1595,1491,8194,5264,,3993,20526,3814,3438,29,113,22,212,2847,465,14,30,8198,1212,9410,7568,1152,8720,165834,131185,108958,2510,19717,34648,3069,0,0,7278,23580,8,24,2588,838,3349,0,260,0,6,47,501,124,1019,0,10,0,5,49,111,152,5,0,11,0,14,64,1290,1049,3681,0,137,0,,,,,,,,,,,,,,,,,,,,,,,
1985,RO,1100056,,,,,,,,,,,,,,,3,,961,406,,14486,2324,3678,8004,102,378,18,,,,,,,,0,"445,935",1158,833,83,94,148,0,1100,51,1,1,7,41,16,8,1,40,4069,346,4415,2908,307,3215,,,,,,,,,,,,"5790,77","301,38","1875,45","181,95",0,0,0,0,3967,623,1406,27,0,0,0,0,980,429,559,50,0,0,0,0,,,,,,,,,,,,0,,,,,,,,,
1996,RO,1100056,"413953,51",,,,,,,,,,,,,,2,142,"150,222",224,,161367,354,,,,,,,,"2,21",6102586,1274,1168,4,9,93,0,91,8,11,5794,4513,,,,,,,,0,,,,1709,508,2202,344,0,0,363,0,,,,"24,768",0,244,"17,307",0,564,466,553,251,0,1,107,0,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100056,"124456,79",,,,,,,,,,,,"48510,75",,34,,7,4,,70300,16631,23922,20209,2,1095,697,,,,,,,0,,,958,833,108,4,44,0,934,0,0,0,0,188,0,0,2782,296,3078,2419,292,2711,,,,,,,,,0,,,"5215,88",0,"6140,5",,,0,"37,151",0,2031,0,2803,19,10660,0,13,0,51,2,72,19,143,0,8,0,,0,,,,0,,0,,,,,,,,,,,,,,,
2017,RO,1100056,126686,123006,0,0,0,4967,35411,22523,33752,56275,27954,0,489,27954,1479,185,2,2,5,11,109292,662,142529,32617,24416,12867,4135,23229,,925,6334,719,671,15,1,1,31,275,303,123,119,1682,500,2182,1607,452,2059,202533,61620,59694,1286,640,140913,0,0,0,139891,517,2738,0,118034,161,110910,0,97,0,853,0,27227,26,33866,0,6,0,7,3,80,47,75,0,19,0,2136,0,32419,241,102921,0,114,0,,,,,,,,,,,,,,,,,,,,,,,
1985,RO,1100064,,,,,,,,,,,"169524,25",,,,7,,2356,952,,34057,6609,12624,12630,796,1398,9,,,,,,,,0,,5629,3444,256,230,1699,0,5512,51,4,3,64,77,46,17,16,61,19067,786,19853,14391,707,15098,,,,,,,,,,,,"18242,31",,"17815,74","553,23",0,"28,95","104,34",0,14157,10948,11141,127,0,17,6,0,4695,4157,3510,106,0,4,12,0,,,,,,,,,,,,,,,,,,,,,
1996,RO,1100064,,,,,,,,,,,,,,,8,178,"100,909",131,,109596,795,,,,,,,,"1,96",8338892,1907,1712,53,45,97,0,94,12,10,6063,5228,,,,,,,,0,,,,2621,1726,6703,495,0,6,781,0,,,,"33,355",0,"5,184","19,421",0,943,952,1012,178,0,3,138,0,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100064,"128974,78",,,,,"1016,75",,0,,,,"240,75",,,23,,85,36,,183191,41052,65742,60972,313,3217,1276,,,,,,,0,,,1602,1576,27,3,14,0,1532,0,0,0,0,137,0,0,4502,544,5046,3860,525,4385,,,,,,,,,,,,,,,,5922,0,"132,475",0,546,797,2086,166,1845,0,15,0,87,163,292,155,9,0,23,0,,,,,,0,,0,,,,,,,,,,,,,,,
2017,RO,1100064,139796,133351,3143,1718,732,1019,1493,0,107220,107220,25337,1098,68,26435,3478,146,3,4,4,16,225964,1473,81310,3631,1354,3694,5402,3471,,287,15802,1674,1575,46,4,15,34,1063,248,22,53,3916,975,4891,3701,941,4642,129799,120703,116241,2480,1982,9096,549,233,0,7284,1030,0,7,3718,607,4587,0,195,0,0,19,859,122,1548,0,8,0,0,36,41,167,6,0,35,0,0,20,1268,728,4245,0,363,0,,,,,,,,,,,,,,,,,,,,,,,
1996,RO,1100072,,,0,,,,,,,,,,,,3,52,"41,709",121,,171205,146,,,,,,,,0,5485784,1664,1627,0,9,28,0,65,20,7,8088,5836,,,,,,,,0,,,,2911,892,5875,129,390,0,13675,0,,,,"6,9","148,55",0,"176,761",0,1188,923,1042,104,5,0,11,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100072,"207736,22",,,,,,,,,,"54315,75",,,,13,,17,9,,214068,35704,105701,54433,44,2064,968,,,,,,,0,,,1497,1447,13,7,57,0,1400,0,0,0,0,144,0,0,4370,712,5082,3777,695,4472,,,,,,,,,0,,,,,,,,0,"19,982",0,2320,31,1860,67,6260,0,25,0,96,23,167,52,19,0,20,0,,,,,,0,,0,,,,,,,,,,,,,,,
2017,RO,1100072,273086,251635,19060,311,0,4194,46035,1051,170537,171588,45926,25,254,45951,5065,100,6,9,9,41,311544,1290,289281,37526,9578,20912,22521,26633,,179,16697,1489,1344,34,17,18,76,825,306,88,130,3575,2346,5921,3306,2152,5458,571195,373793,369220,430,4143,197402,400,0,0,195991,1011,1612,3,111937,284,160838,0,217,0,511,8,26989,34,45321,0,17,0,8,21,56,224,40,1,107,0,1392,4,42475,463,150302,0,270,0,,,,,,,,,,,,,,,,,,,,,,,
1985,RO,1100080,,,,,,,,,,,,,,,23,,600,1722,,31114,7023,11330,11744,173,844,38,,,,,,,,17,"981,549",4509,3892,132,96,389,0,4457,1,1,0,51,54,5,2,5,49,15695,1589,17284,11634,1569,13203,,,,,,,,,,,,"19194,16","3502,08",,,"26,32","18,5","414,645",0,11221,4715,7286,477,14,13,43,0,3829,1828,2760,820,9,10,115,0,,,,,,,,,,,,,,,,,,,,,
1996,RO,1100080,,,,,,,,,,,,,,,0,278,"595,15",373,,20244,54,,,,,,,,"1,21",550326,707,643,2,3,59,0,15,1,0,2682,2013,,,,,,,,,,,,1449,193,1345,212,0,5,59,0,,,,"26,229",0,"7,26","6,582",0,479,330,428,51,0,2,7,0,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100080,"159874,21",,,,,,,,,,,0,,"235,5",1,,54,72,,79649,15474,26503,27431,16,2562,325,,,,,,,0,,"704,3",1032,995,8,7,10,0,1027,0,0,0,0,38,0,0,2773,377,3150,2254,373,2627,,,,,,,,0,,,,"479,374",,"911,503",,0,0,"7,14",0,432,238,669,60,0,0,6,0,302,214,317,63,0,0,7,0,,,,,0,0,,0,,,,,,,,,,,,,,,
2017,RO,1100080,220177,212354,5850,0,1253,1524,759,8877,141644,150521,61003,0,2251,61003,3971,90,0,0,0,0,204956,1216,76339,661,532,3192,6418,3719,,75,7445,1500,1352,33,11,76,28,770,269,0,10,3624,801,4425,3391,752,4143,91310,85560,84707,304,523,5750,0,0,304,3191,1793,44,68,779,825,0,0,310,0,28,50,262,229,0,0,6,0,18,56,89,191,0,0,4,0,49,204,916,1611,0,0,12,0,,,,,,,,,,,,,,,,,,,,,,,
1985,RO,1100098,,,,,,,,,,,,,,,1,,1337,635,,39492,8623,16384,13256,180,1049,30,,,,,,,,"2,5",,1837,1550,30,78,179,0,1815,3,3,1,15,49,2,2,4,45,7804,577,8381,4999,525,5524,,,,,,,,0,,,,,"411,294",,"112,304","14,4",0,"13,94",0,2743,785,2736,33,5,0,7,0,1001,576,857,29,3,0,5,0,,,,,,,,,,,,,,,,,,,,,
1996,RO,1100098,,,,,,,,,,,,,,,20,1280,,1165,,142908,423,,,,,,,,"10,4",10956600,2285,2185,5,63,32,0,112,6,51,9627,6809,,,,,,,,0,,,,1463,504,5056,516,11,5,374,0,,,,"34,899",3,"3,897","7,361",0,995,841,1118,131,1,11,34,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100098,"242809,74",,,,,,,,,,,,,,20,,191,78,,288277,59571,108064,88613,131,10268,1472,,,,,,,0,,,2068,1895,17,17,151,0,1942,0,0,0,0,205,0,0,6593,933,7526,5573,871,6444,,,,,,,,,,,,,,,,0,0,"54,205",0,808,1463,936,91,0,0,13,0,225,280,402,108,0,0,17,0,,,,,0,0,,0,,,,,,,,,,,,,,,
2017,RO,1100098,247331,178652,2565,0,65232,1679,3352,0,161754,161754,71304,2884,898,74188,5387,120,19,44,15,113,310027,1914,87018,2553,1445,1669,17359,5550,,1213,20562,2000,1606,9,5,363,17,1439,334,9,33,4374,2341,6715,4144,2190,6334,140380,125015,119525,1404,4086,15365,422,0,5371,7018,2554,3,12,1222,224,5460,0,262,0,2,17,430,140,1695,0,18,0,3,15,62,126,4,0,22,0,3,41,654,317,5460,0,184,0,,,,,,,,,,,,,,,,,,,,,,,
1985,RO,1100106,,,,,,,,"4008,5",38369,"42377,5",,"1602,5",,,5,,307,389,,20376,3920,9192,6684,69,511,9,,,,,,,,0,,1721,790,1,2,928,0,1676,7,0,0,38,33,2,2,13,20,4473,1144,5617,3308,1118,4426,,,,,,,,0,,,,"3337,07","248,245","1672,63",,0,0,"123,98",0,2541,445,1527,555,0,0,33,0,775,328,636,325,0,0,22,0,,,,,,,,,,,,,,,,,,,,,
1996,RO,1100106,,,0,125,,,,,,,,,,,0,12,"11,448",77,,36470,104,,,,0,,,0,"0,5",2159740,577,426,0,2,149,0,19,0,2,3181,2501,,,,,,,,,,,,661,64,609,3904,0,0,90,0,"522,097",,"520,117","325,2",0,0,"2,762",0,230,85,229,162,0,0,9,0,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100106,"61225,93",53125,757,,,,,,,,,0,,,2,0,0,0,0,46537,6100,23883,13942,852,673,153,,0,0,0,,,0,242,"2980,7",242,187,3,16,12,0,230,0,0,0,0,24,0,0,608,96,704,532,95,627,,,,,,,,0,,,,"14,1",,"6,39",,0,0,0,0,9,124,6,29,0,0,0,0,8,3,10,17,0,0,1,0,,,,,0,0,0,0,,,,0,,,,,0,,0,,,,
2017,RO,1100106,70487,69941,0,0,374,771,1071,1887,44837,46724,18266,0,0,18266,3096,58,0,0,0,0,63146,409,15910,204,21,524,1633,321,,202,3490,602,504,5,1,35,57,290,91,0,0,2584,196,2780,2351,0,2351,28970,20686,20024,133,516,8283,0,0,2008,4571,939,28,33,54,3659,0,0,29,0,13,27,47,660,0,0,4,0,11,8,29,203,0,0,4,0,24,107,31,4242,0,0,39,0,,,,,,,,,,,,,,,,,,,,,,,
1985,RO,1100114,,,,,,,,,,"56457,5",,,,,13,,3071,1787,,51054,12360,15848,20856,261,1729,31,,,,,,,,"8,47",,5800,3938,50,889,923,0,5719,57,3,1,22,31,20,22,5,26,26394,1624,28018,16411,1426,17837,,,,,,,,,,,,,,,"832,375","14,1","18,6","158,733",0,12130,3011,5580,255,12,15,15,0,3632,1966,2446,305,10,3,32,0,,,,,,,,,,,,,,,,,,,,,
1996,RO,1100114,,,,,,,,,,,,,,,4,2232,"3421,3",1129,,197285,724,,,,,,,,"27,83",36956673,2748,2643,6,13,86,0,49,5,21,14174,9897,,,,,,,,0,,,,3554,663,4206,376,3,16,78,0,,,,"52,058","3,63","22,518","2,112",0,1163,617,1142,106,2,13,17,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100114,"240909,21",,,,,,,,,,,,,,13,,778,221,,436674,94711,169538,140492,1487,8425,2802,,,,,,,0,,,3097,2995,16,13,33,0,2909,0,0,0,0,141,0,0,9786,1232,11018,8639,1210,9849,,,,,,,,,,,,"575,611",,"1673,25",,0,0,"22,598",0,475,1024,928,356,0,0,36,0,197,264,370,181,0,0,32,0,,,,,0,0,,0,,,,,,,,,,,,,,,
2017,RO,1100114,250653,240873,1687,1802,2155,4087,649,0,219460,219460,20017,143,796,20160,5503,225,8,17,22,38,439444,3333,105090,845,472,3468,10284,3532,,143,56581,3548,3255,33,51,46,163,2401,262,5,34,7066,1324,8390,6825,1140,7965,177910,170735,165820,608,4307,7176,1145,0,0,1442,4558,3,12,487,337,0,0,117,0,2,18,178,125,0,0,16,0,3,16,124,357,0,0,87,0,3,36,403,433,0,0,172,0,,,,,,,,,,,,,,,,,,,,,,,
1985,RO,1100122,,,,,,,,,,,,,,,18,,4994,2076,,70281,15070,26499,26205,332,2175,62,,,,,,,,"14,883",,5294,3448,74,265,1507,0,5239,12,3,1,40,57,13,3,7,50,16833,1519,18352,13168,1353,14521,,,,,,,,,,,,,,"7593,75","927,83","42,84","28,68","400,355",0,12130,2812,7115,317,46,41,30,0,3535,1837,2747,309,18,18,44,0,,,,,,,,,,,,,,,,,,,,,
1996,RO,1100122,,,,,,,,,,,,,309620,,6,1550,,657,,204525,1323,,,,,,,,"19,602",26887664,2490,2409,6,26,49,0,121,8,40,12666,9273,,,,,,,,0,,,,1240,500,1275,778,0,36,690,0,,,,"64,508",0,"30,634","14,163",0,469,327,421,110,0,15,37,0,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100122,"214873,07",,,,,,,,,,,,,,40,,295,103,,319452,66709,130517,95594,174,4360,2177,,,,,,,0,,,2450,2373,62,10,27,0,2335,0,0,0,0,143,0,0,6526,1046,7572,5897,988,6885,,,,,,,,,,,,"576,67",,,,0,0,"263,68",0,293,2782,1363,257,0,0,47,0,61,117,168,183,0,0,56,0,,,,,0,0,,0,,,,,,,,,,,,,,,
2017,RO,1100122,215375,208680,2658,708,471,870,1456,2676,174856,177532,29596,245,134,29841,5543,340,21,37,22,121,305561,2471,90967,2118,693,2079,13389,2712,,344,35890,2544,2378,57,11,25,73,1812,312,14,51,5978,1825,7803,5631,1744,7375,135145,127023,118397,397,8228,8121,3940,0,0,2259,1681,0,13,505,718,0,0,69,0,0,18,325,134,0,0,13,0,0,14,58,196,0,0,22,0,0,48,836,980,0,0,60,0,,,,,,,,,,,,,,,,,,,,,,,
1996,RO,1100130,,,,,,,,,,,"309449,25",,,,3,4072,"5993,26",2084,,50417,144,,,,,,,,0,2417241,3015,2933,10,22,50,0,32,1,332,12406,9580,,,,,,,,0,,,,4333,296,3043,2619,0,13,81,0,,,,"222,732",0,"31,83","3,335",0,1664,619,1258,501,0,9,23,0,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100130,"359882,92",334484,,"1056,5",,,,,,,,,,,46,,1637,451,,184053,28911,57040,47466,268,3372,1622,,,,,,,0,,,4438,3906,11,46,462,0,4339,0,0,0,0,110,0,0,12577,1357,13934,10473,1339,11812,,,,,,,,,,,,"2336,13",,,,0,0,"324,56",0,2212,813,1699,540,0,0,45,0,950,391,902,431,0,1,40,0,,,,,0,0,,0,,,,,84848,,,,,,,,,,
2017,RO,1100130,300762,285710,1374,0,12830,5872,4734,0,199351,199351,77488,833,1988,78321,10495,448,0,0,0,0,228485,3967,105912,5259,1754,3842,10850,5671,,424,36744,4272,3965,17,3,202,85,3390,257,22,36,10518,1302,11820,9476,1253,10729,112310,85642,73519,428,11694,26668,982,273,829,18904,5680,417,2,2227,1124,13002,0,39,0,205,10,913,292,2592,0,10,0,11,21,130,287,6,0,12,0,392,8,1073,1324,13744,0,50,0,,,,,,,,,,,,,,,,,,,,,,,
1996,RO,1100148,,,,,,,,,,,,,,,5,4389,,1634,,57992,322,,,,,,,,"1,605",3989006,1912,1566,85,182,79,0,45,3,3,9890,6982,,,,,,,,,,,,2348,1316,2369,371,0,15,9,0,,,,"31,939",5,"9,846",149,0,1204,1320,1181,121,1,12,5,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100148,"110192,61",,,,,,,,,,,,,,16,,1057,234,,108716,21707,30587,32869,21,1413,1660,,,,,,,0,,,2187,1873,45,128,233,0,2160,0,0,0,0,75,0,0,6537,511,7048,5769,501,6270,,,,,,,,,,,,,,,,0,0,"15,51",0,2645,755,1652,50,0,0,5,0,589,435,548,62,0,0,12,0,,,,,0,0,,0,,,,,,,,,,,,,,,
2017,RO,1100148,156002,149705,250,729,3421,7440,703,0,108059,108059,37451,114,174,37565,2027,667,23,46,18,135,175832,2875,52463,4505,1556,790,6644,3384,,3987,12375,3010,2693,18,36,11,252,2095,229,10,21,6141,1710,7851,5808,1662,7470,99557,62303,59923,170,2210,37253,285,0,0,1775,35162,68,17,534,55,0,0,0,0,26,31,179,21,0,0,0,0,7,31,52,22,1,0,0,0,63,63,320,71,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1985,RO,1100155,,"366365,25",,,,,,,"94711,25",,,,,,18,,8042,3996,,102712,21378,38036,39472,695,3131,47,,,,,,,,"2,42",,9175,5031,151,1355,2638,0,8627,185,63,55,308,76,13,2,18,58,30916,2331,33247,24109,2220,26329,,,,,,,,,,,,"28386,22","3441,58",,"387,135","179,58","49,58","826,84",0,17656,6412,10819,138,132,39,35,0,6054,3747,4419,170,54,23,19,0,,,,,,,,,,,,,,,,,,,,,
1996,RO,1100155,,,,,,,,,,,,,,,5,4253,,2018,,316175,1706,,,,,,,,"31,975",62489622,4005,3403,21,148,433,0,127,6,16,17531,13954,,,,,,,,,,,,3613,1520,7075,543,6,46,127,0,,,,"35,441","3,63","55,902","13,628",0,1600,1605,1918,257,1,30,30,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100155,"150966,58",,,,,,,,,,,,,,20,,829,207,,261824,58979,105637,84701,249,3624,1636,,,,,,,0,,,1757,1651,21,27,96,0,1604,0,0,0,0,125,0,0,6117,850,6967,5237,813,6050,,,,,,,,,,,,"232,89",,,,0,0,"71,329",0,146,1346,901,286,0,0,15,0,52,130,237,158,0,0,28,0,,,,,0,0,,0,,,,,,,,,,,,,,,
2017,RO,1100155,152422,141620,2638,1488,2396,1381,378,1553,128312,129865,16195,177,128,16372,4298,181,20,59,36,106,271565,2071,87236,1624,1137,3889,9192,2283,,189,41671,2159,1839,52,40,52,176,1215,183,5,26,4794,1244,6038,4627,1213,5840,137037,131941,119015,1609,11317,5096,454,0,29,1737,2794,0,2,77,599,0,0,323,0,0,8,34,96,0,0,16,0,1,10,29,181,0,0,26,0,0,4,80,659,0,0,565,0,,,,,,,,,,,,,,,,,,,,,,,
1985,RO,1100189,,,886,,,,,,,,"302190,25",,,,5,,2517,1127,,66755,11268,30432,23285,157,1613,19,,,,,,,,0,,3646,2826,71,415,334,0,3606,2,1,3,35,92,2,4,11,81,13708,1151,14859,9148,964,10112,,,,,,,,,,,,"7121,68","692,95","3325,52","971,2","15,48",0,0,0,5946,1176,2642,208,10,0,0,0,1631,593,931,60,4,0,0,0,,,,,,,,,,,,,,,,,,,,,
1996,RO,1100189,,632311,,,,,,,,,,,,,19,2193,,1619,,270768,747,,,,,,,,"56,994",9661744,3490,3073,51,86,280,0,340,41,22,11060,9804,,,,,,,,0,,,,5232,3616,10980,1636,29,671,625,0,,,,"156,761","15,962","731,186","45,28",0,1953,1779,1932,473,3,315,51,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,RO,1100189,"258494,17",,,0,,,,,,,,,,,66,,1,3,,144074,29736,60708,40662,32,4677,845,,,,,,,0,,,1064,1052,4,0,10,0,996,0,0,0,0,197,0,0,2364,467,2831,2190,455,2645,,,,,,,,,,,,"3,6",,"368,1",,0,0,"273,6",0,6,43,151,20,0,0,8,0,3,8,20,20,0,0,8,0,,,,,0,0,,0,,,,,,,,,,,,,,,
